,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS,FTS
1,Chelsea,38,26,9,3,73,32,41,87,,2.29,2.13,45%,8%,
2,Manchester City,38,24,7,7,83,38,45,79,,2.08,2.25,37%,8%,
3,Arsenal,38,22,9,7,71,36,35,75,,1.97,1.88,34%,13%,
4,Manchester Utd,38,20,10,8,62,37,25,70,,1.84,1.38,29%,21%,
5,Tottenham,38,19,7,12,58,53,5,64,,1.68,1.38,24%,26%,
6,Liverpool,38,18,8,12,52,48,4,62,,1.63,1,37%,21%,
7,Southampton,38,18,6,14,54,33,21,60,,1.58,0.88,39%,32%,
8,Swansea City,38,16,8,14,46,49,-3,56,,1.47,1.63,34%,21%,
9,Stoke City,38,15,9,14,48,45,3,54,,1.42,1.5,24%,24%,
10,Crystal Palace,38,13,9,16,47,51,-4,48,,1.26,1.5,18%,34%,
11,Everton,38,12,11,15,48,50,-2,47,,1.24,1.63,26%,32%,
12,West Ham Utd,38,12,11,15,44,47,-3,47,,1.24,0.63,24%,29%,
13,West Brom,38,11,11,16,38,51,-13,44,,1.16,1.38,42%,34%,
14,Leicester City,38,11,8,19,46,55,-9,41,,1.08,2.38,26%,37%,
15,Newcastle Utd,38,10,9,19,40,63,-23,39,,1.03,0.5,21%,34%,
16,Sunderland,38,7,17,14,31,53,-22,38,,1,1.5,34%,45%,
17,Aston Villa,38,10,8,20,31,57,-26,38,,1,1.25,26%,47%,
18,Hull City,38,8,11,19,33,51,-18,35,,0.92,0.88,26%,45%,
19,Burnley,38,7,12,19,28,53,-25,33,,0.87,1,26%,47%,
20,QP Rangers,38,8,6,24,42,73,-31,30,,0.79,1,16%,32%,
