Pos,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS
1,Manchester City,38,32,2,4,95,23,72,98,,2.58,3,53%,5%
2,Liverpool,38,30,7,1,89,22,67,97,,2.55,3,55%,8%
3,Chelsea,38,21,9,8,63,39,24,72,,1.89,1.88,42%,26%
4,Tottenham,38,23,2,13,67,39,28,71,,1.87,1.25,34%,16%
5,Arsenal,38,21,7,10,73,51,22,70,,1.84,1.25,21%,11%
6,Manchester Utd,38,19,9,10,65,54,11,66,,1.74,1,18%,18%
7,Wolverhampton,38,16,9,13,47,46,1,57,,1.5,1.63,24%,29%
8,Everton,38,15,9,14,54,46,8,54,,1.42,2.13,37%,26%
9,Leicester City,38,15,7,16,51,48,3,52,,1.37,1.75,26%,21%
10,West Ham Utd,38,15,7,16,52,55,-3,52,,1.37,1.63,18%,37%
11,Watford,38,14,8,16,52,59,-7,50,,1.32,0.88,18%,26%
12,Crystal Palace,38,14,7,17,51,53,-2,49,,1.29,2,32%,29%
13,Newcastle Utd,38,12,9,17,42,48,-6,45,,1.18,1.38,29%,34%
14,Bournemouth,38,13,6,19,56,70,-14,45,,1.18,1,26%,32%
15,Burnley,38,11,7,20,45,68,-23,40,,1.05,1.25,21%,32%
16,Southampton,38,9,12,17,45,65,-20,39,,1.03,1.13,18%,26%
17,Brighton,38,9,9,20,35,60,-25,36,,0.95,0.38,18%,34%
18,Cardiff City,38,10,4,24,34,69,-35,34,,0.89,0.75,26%,45%
19,Fulham,38,7,5,26,34,81,-47,26,,0.68,1.13,13%,39%
20,Huddersfield,38,3,7,28,22,76,-54,16,,0.42,0.25,13%,50%
