,ARS,AST,BUR,CHE,CRY,EVE,HUL,LEI,LIV,MCI,MAN,NEW,QPR,SOU,STO,SUN,SWA,TOT,WBA,WHU,WES,WHU,WHU,WOL
Arsenal,,5-0,3-0,0-0,2-1,2-0,2-2,2-1,4-1,2-2,1-2,4-1,2-1,1-0,3-0,0-0,0-1,1-1,4-1,3-0,,,,
Aston Villa,0-3,,0-1,1-2,0-0,3-2,2-1,2-1,0-2,0-2,1-1,0-0,3-3,1-1,1-2,0-0,0-1,1-2,2-1,1-0,,,,
Burnley,0-1,1-1,,1-3,2-3,1-3,1-0,0-1,0-1,1-0,0-0,1-1,2-1,1-0,0-0,0-0,0-1,0-0,2-2,1-3,,,,
Chelsea,2-0,3-0,1-1,,1-0,1-0,2-0,2-0,1-1,1-1,1-0,2-0,2-1,1-1,2-1,3-1,4-2,3-0,2-0,2-0,,,,
Crystal Palace,1-2,0-1,0-0,1-2,,0-1,0-2,2-0,3-1,2-1,1-2,1-1,3-1,1-3,1-1,1-3,1-0,2-1,0-2,1-3,,,,
Everton,2-2,3-0,1-0,3-6,2-3,,1-1,2-2,0-0,1-1,3-0,3-0,3-1,1-0,0-1,0-2,0-0,0-1,0-0,2-1,,,,
Hull City,1-3,2-0,0-1,2-3,2-0,2-0,,0-1,1-0,2-4,0-0,0-3,2-1,0-1,1-1,1-1,0-1,1-2,0-0,2-2,,,,
Leicester City,1-1,1-0,2-2,1-3,0-1,2-2,0-0,,1-3,0-1,5-3,3-0,5-1,2-0,0-1,0-0,2-0,1-2,0-1,2-1,,,,
Liverpool,2-2,0-1,2-0,1-2,1-3,1-1,0-0,2-2,,2-1,1-2,2-0,2-1,2-1,1-0,0-0,4-1,3-2,2-1,2-0,,,,
Manchester City,0-2,3-2,2-2,1-1,3-0,1-0,1-1,2-0,3-1,,1-0,5-0,6-0,2-0,0-1,3-2,2-1,4-1,3-0,2-0,,,,
Manchester Utd,1-1,3-1,3-1,1-1,1-0,2-1,3-0,3-1,3-0,4-2,,3-1,4-0,0-1,2-1,2-0,1-2,3-0,0-1,2-1,,,,
Newcastle Utd,1-2,1-0,3-3,2-1,3-3,3-2,2-2,1-0,1-0,0-2,0-1,,1-0,1-2,1-1,0-1,2-3,1-3,1-1,2-0,,,,
QP Rangers,1-2,2-0,2-0,0-1,0-0,1-2,0-1,3-2,2-3,2-2,0-2,2-1,,0-1,2-2,1-0,1-1,1-2,3-2,0-0,,,,
Southampton,2-0,6-1,2-0,1-1,1-0,3-0,2-0,2-0,0-2,0-3,1-2,4-0,2-1,,1-0,8-0,0-1,2-2,0-0,0-0,,,,
Stoke City,3-2,0-1,1-2,0-2,1-2,2-0,1-0,0-1,6-1,1-4,1-1,1-0,3-1,2-1,,1-1,2-1,3-0,2-0,2-2,,,,
Sunderland,0-2,0-4,2-0,0-0,1-4,1-1,1-3,0-0,0-1,1-4,1-1,1-0,0-2,2-1,3-1,,0-0,2-2,0-0,1-1,,,,
Swansea City,2-1,1-0,1-0,0-5,1-1,1-1,3-1,2-0,0-1,2-4,2-1,2-2,2-0,0-1,2-0,1-1,,1-2,3-0,1-1,,,,
Tottenham,2-1,0-1,2-1,5-3,0-0,2-1,2-0,4-3,0-3,0-1,0-0,1-2,4-0,1-0,1-2,2-1,3-2,,0-1,2-2,,,,
West Brom,0-1,1-0,4-0,3-0,2-2,0-2,1-0,2-3,0-0,1-3,2-2,0-2,1-4,1-0,1-0,2-2,2-0,0-3,,1-2,,,,
West Ham Utd,1-2,0-0,1-0,0-1,1-3,1-2,3-0,2-0,3-1,2-1,1-1,1-0,2-0,1-3,1-1,1-0,3-1,0-1,1-1,,,,,
