,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS,FTS
1,Manchester Utd,38,28,5,5,86,43,43,89,,2.34,1.5,34%,8%,
2,Manchester City,38,23,9,6,66,34,32,78,,2.05,2,47%,16%,
3,Chelsea,38,22,9,7,75,39,36,75,,1.97,2.5,37%,13%,
4,Arsenal,38,21,10,7,72,37,35,73,,1.92,2.5,37%,18%,
5,Tottenham,38,21,9,8,66,46,20,72,,1.89,2.25,24%,11%,
6,Everton,38,16,15,7,55,40,15,63,,1.66,1.5,29%,18%,
7,Liverpool,38,16,13,9,71,43,28,61,,1.61,2,42%,21%,
8,West Brom,38,14,7,17,53,57,-4,49,,1.29,0.63,21%,26%,
9,Swansea City,38,11,13,14,47,51,-4,46,,1.21,0.75,26%,42%,
10,West Ham Utd,38,12,10,16,45,53,-8,46,,1.21,1.25,29%,29%,
11,Norwich City,38,10,14,14,41,58,-17,44,,1.16,1.25,26%,34%,
12,Fulham,38,11,10,17,50,60,-10,43,,1.13,0.5,21%,32%,
13,Stoke City,38,9,15,14,34,45,-11,42,,1.11,1,32%,39%,
14,Southampton,38,9,14,15,49,60,-11,41,,1.08,1.25,18%,24%,
15,Aston Villa,38,10,11,17,47,69,-22,41,,1.08,1.38,13%,32%,
16,Newcastle Utd,38,11,8,19,45,68,-23,41,,1.08,1,16%,29%,
17,Sunderland,38,9,12,17,41,54,-13,39,,1.03,1,29%,26%,
18,Wigan Athletic,38,9,9,20,47,73,-26,36,,0.95,0.75,13%,29%,
19,Reading,38,6,10,22,43,73,-30,28,,0.74,0.63,13%,37%,
20,QP Rangers,38,4,13,21,30,60,-30,25,,0.66,0.25,18%,42%,
