Pos,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS,FTS
1,Leicester City,38,23,12,3,68,36,32,81,,2.13,2.25,39%,8%,
2,Arsenal,38,20,11,7,65,36,29,71,,1.87,2,47%,21%,
3,Tottenham,38,19,13,6,69,35,34,70,,1.84,1.5,34%,16%,
4,Manchester City,38,19,9,10,71,41,30,66,,1.74,1.88,42%,21%,
5,Manchester Utd,38,19,9,10,49,35,14,66,,1.74,2,47%,26%,
6,Southampton,38,18,9,11,59,41,18,63,,1.66,2.38,32%,26%,
7,West Ham Utd,38,16,14,8,65,51,14,62,,1.63,1.5,29%,13%,
8,Liverpool,38,16,12,10,63,50,13,60,,1.58,1.88,29%,21%,
9,Stoke City,38,14,9,15,41,55,-14,51,,1.34,1,26%,34%,
10,Chelsea,38,12,14,12,59,53,6,50,,1.32,1.13,24%,21%,
11,Everton,38,11,14,13,59,55,4,47,,1.24,1.13,26%,29%,
12,Swansea City,38,12,11,15,42,52,-10,47,,1.24,1.75,24%,32%,
13,Watford,38,12,9,17,40,50,-10,45,,1.18,1,29%,37%,
14,West Brom,38,10,13,15,34,48,-14,43,,1.13,0.5,29%,37%,
15,Crystal Palace,38,11,9,18,39,51,-12,42,,1.11,1.13,21%,37%,
16,Bournemouth,38,11,9,18,45,67,-22,42,,1.11,0.5,18%,29%,
17,Sunderland,38,9,12,17,48,62,-14,39,,1.03,1.63,18%,32%,
18,Newcastle Utd,38,9,10,19,44,65,-21,37,,0.97,1.5,21%,37%,
19,Norwich City,38,9,7,22,39,67,-28,34,,0.89,1.13,13%,42%,
20,Aston Villa,38,3,8,27,27,76,-49,17,,0.45,0.13,16%,47%,
